tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
link;71339054219_10153117029059220;https://www.facebook.com/71339054219/posts/10153117029059220;http://a.ln.com.ar/1IXdExh;;URL NULL;
photo;71339054219_10153117101249220;https://www.facebook.com/71339054219/posts/10153117101249220;http://a.ln.com.ar/1Na5wXH;;URL NULL;
photo;71339054219_10153117102719220;https://www.facebook.com/71339054219/posts/10153117102719220;http://a.ln.com.ar/1SOf2qv;;URL NULL;
link;71339054219_10153117104234220;https://www.facebook.com/71339054219/posts/10153117104234220;http://a.ln.com.ar/1Ip7j7W;;URL NULL;
photo;71339054219_10153117104349220;https://www.facebook.com/71339054219/posts/10153117104349220;http://a.ln.com.ar/1SOfjK9;;URL NULL;
photo;71339054219_10153117106179220;https://www.facebook.com/71339054219/posts/10153117106179220;http://a.ln.com.ar/1SOfEwg;;URL NULL;
photo;71339054219_10153117109059220;https://www.facebook.com/71339054219/posts/10153117109059220;http://a.ln.com.ar/1JM2QAI;;URL NULL;
photo;71339054219_10153117109739220;https://www.facebook.com/71339054219/posts/10153117109739220;http://a.ln.com.ar/1P6rqN3;;URL NULL;
photo;71339054219_10153117114109220;https://www.facebook.com/71339054219/posts/10153117114109220;http://a.ln.com.ar/1Dq5o6z;;URL NULL;
photo;71339054219_10153117117484220;https://www.facebook.com/71339054219/posts/10153117117484220;http://a.ln.com.ar/1T3nWeA;;URL NULL;
photo;71339054219_10153117128344220;https://www.facebook.com/71339054219/posts/10153117128344220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153117128344220/?type=3;;URL NULL;
link;71339054219_10153117154094220;https://www.facebook.com/71339054219/posts/10153117154094220;http://a.ln.com.ar/1eSWqD5;;URL NULL;
